PLevels 4563
Item 8237 1
Item 8238 1
Item 8239 1
Item 8240 1
Item 8241 1
Item 8242 1
Item 8243 1
Item 8244 1
Item 8245 1
Item 8246 1
Item 8247 1
Item 8248 1
Item 8249 1
Item 8250 1
Item 8251 1
Item 8252 1
Item 8255 3
Item 8256 3
Item 8257 1
Item 8258 1
Item 8259 1
Item 8260 1
Item 8261 1
Item 8262 1
Item 8263 1
Item 8264 1
Item 8265 1
Item 8266 1
Item 8267 1
Item 8268 1
Item 8272 3
Item 8274 1
Item 8275 3
Item 8276 5
Item 8277 3
Item 8325 10
Item 8420 1
Item 8421 2
Item 8422 2
Item 8423 2
Item 8424 2
Item 8425 2
Item 8426 2
Item 8427 1
Item 8428 2
Item 8429 1
Item 8430 1
Item 8431 1
Item 8432 4
Item 8433 4
Item 8434 1
Item 8435 1
Item 8436 2
Item 8437 1
Item 8438 3
Item 8439 1
Item 8440 1
Item 8441 1
Item 8442 2
Item 8443 1
Item 8444 1
Item 8445 1
Item 8446 1
Item 8447 1
Item 8448 1
Item 8449 1
Item 8450 1
Item 8453 4
Item 8454 0
Item 8455 0
Item 8456 1
Item 9410 5
Item 9411 5
Item 9412 5
Item 9413 5
Item 9414 5
Item 9421 2
Item 9422 4
Item 9426 5
Item 9427 3
Item 9428 2
Item 10100 1
Item 10103 5
Item 10112 1
Item 10113 1
Item 10116 1
Item 10121 1
Item 10122 4
Item 10209 2
Item 10210 2
Item 10211 3
Item 10232 0
Item 10243 0
Item 10245 0
Item 10246 4
Item 10247 5
Item 10248 5
Item 10249 5
Item 10250 5
Item 10251 0
Item 10252 5
Item 10253 5
Item 10254 5
Item 10255 5
Item 10256 5
Item 10257 4
Item 10258 10
Item 10259 6
Item 10260 5
Item 10264 5
Item 10265 4
Item 10266 4
Item 10267 4
Item 10268 4
Item 10269 4
Item 10270 4
Item 10306 5
Item 10313 5
Item 10314 4
Item 10318 5
Item 10321 5
Item 10327 5
Item 10328 10
Item 10330 0
Item 12000 15
Item 12100 0
Item 12104 3
Item 12151 0
Item 13001 0
Item 13002 1
Item 13003 0
Item 13004 1
Item 13007 1
Item 13011 2
Item 13013 1
Item 13014 2
Item 13020 1
Item 13021 1
Item 13023 0
Item 13024 4
Item 13025 4
Item 13026 5
Item 13029 0
Item 13032 12
Item 13064 0
Item 13092 1
Item 13100 4
Item 13118 1
Item 13119 0
Item 13120 3
Item 13125 4
Item 13127 12
Item 13128 2
Item 13129 4
Item 15003 0
Item 15004 0
Item 15005 0
Item 15006 0
Item 15008 0
Item 15020 1
Item 15061 5
Item 15067 1
Item 15079 5
Item 15083 1
Item 15090 0
Item 15095 1
Item 15098 0
Item 15103 0
Item 15104 0
Item 15107 1
Item 15110 0
Item 15111 0
Item 15112 0
Item 15114 1
Item 15118 0
Item 15120 0
Item 15121 4
Item 15122 1
Item 15124 5
Item 15125 0
Item 15134 10
Item 15137 0
Item 15139 0
Item 15140 0
Item 15141 0
Item 15142 2
Item 15143 2
Item 15146 0
Item 15150 0
Item 15151 0
Item 15152 0
Item 15153 3
Item 15154 3
Item 15155 4
Item 15164 3
Item 15167 0
Item 15169 0
Item 15170 5
Item 15172 0
Item 15173 0
Item 15175 1
Item 15200 0
Item 15201 0
Item 15202 1
Item 15207 0
Item 15252 0
Item 15405 0
Item 15910 3
Item 15912 0
Item 15914 0
Item 15923 0
Item 17000 0
Item 17010 13
Item 17020 2
Item 17021 1
Item 17022 1
Item 17023 2
Item 17024 2
Item 17025 1
Item 17026 1
Item 17027 1
Item 17028 2
Item 17029 1
Item 17030 1
Item 17031 1
Item 17032 1
Item 17033 1
Item 17034 1
Item 17035 1
Item 17036 1
Item 17037 2
Item 17039 4
Item 17040 1
Item 17041 1
Item 17042 3
Item 17043 1
Item 17072 5
Item 17077 0
Item 17078 0
Item 17140 4
Item 17141 1
Item 17142 2
Item 17143 1
Item 17144 1
Item 17145 1
Item 17146 1
Item 17252 5
Item 17254 1
Item 17259 4
Item 17260 5
Item 17262 5
Item 17263 0
Item 17264 0
Item 17265 0
Item 17266 0
Item 17267 0
Item 17269 18
Item 17270 5
Item 17271 1
Item 17272 1
Item 17273 1
Item 17274 1
Item 17275 1
Item 17276 1
Item 17277 2
Item 17278 3
Item 17279 1
Item 17280 1
Item 17282 1
Item 17283 1
Item 17284 1
Item 17285 1
Item 17286 1
Item 17287 1
Item 17288 1
Item 17298 5
Item 17299 8
Item 17300 5
Item 17301 1
Item 17302 12
Item 17305 0
Item 17500 0
Item 17898 0
Item 17899 0
Item 19018 3
Item 19020 1
Item 19022 0
Item 19023 5
Item 19024 0
Item 19038 2
Item 19052 2
Item 19053 2
Item 19054 2
Item 19055 2
Item 20101 1
Item 20607 1
Item 20608 1
Item 20725 2
Item 20732 2
Item 20734 0
Item 20735 0
Item 20736 0
Item 20747 0
Item 20757 1
Item 20765 1
Item 20766 1
Item 21371 0
Item 21400 1
Item 21401 0
Item 22092 0
Item 22093 0
Item 22094 0
Item 22095 0
Item 22096 0
Item 22097 0
Item 22098 0
Item 22099 0
Item 22201 10
Item 22202 3
Item 22203 1
Item 22204 0
Item 22205 2
Item 22206 2
Item 22207 10
Item 22453 2
Item 22454 1
Item 22455 1
Item 22461 1
Item 22480 0
Item 22495 0
Item 23000 0
Item 23001 1
Item 23005 1
Item 23009 5
Item 23018 5
Item 23019 1
Item 23020 1
Item 23021 5
Item 23036 1
Item 23037 1
Item 23038 5
Item 23044 1
Item 23045 4
Item 23046 1
Item 23048 2
Item 23049 1
Item 23051 5
Item 23052 4
Item 23053 1
Item 23055 4
Item 23056 4
Item 23057 4
Item 23058 4
Item 23059 4
Item 23060 4
Item 23061 4
Item 23062 4
Item 23063 2
Item 23073 4
Item 23074 4
Item 23075 4
Item 23076 4
Item 23081 0
Item 23082 1
Item 23087 0
Item 23088 3
Item 23089 3
Item 23094 5
Item 23095 1
Item 23096 5
Item 23124 5
Item 23125 0
Item 23127 2
Item 23305 1
Item 23330 1
Item 23332 1
Item 23333 2
Item 23334 3
Item 23335 1
Item 23814 0
Item 23816 0
Item 25001 0
Item 25002 1
Item 25003 1
#END
