name|vnum|limit_factor|limit
a tall tower shield of darkened steel|4497|50|50
a violet potion|4607|2|2
a featureless quest object|4730|1|1
a living piece of demonflesh|4731|1|1
a living piece of demonflesh|4732|1|1
a living piece of demonflesh|4733|1|1
a living piece of demonflesh|4734|1|1
a living piece of demonflesh|4735|1|1
a living piece of demonflesh|4736|1|1
a living piece of demonflesh|4737|1|1
a living piece of demonflesh|4738|1|1
a living piece of demonflesh|4739|1|1
a living piece of demonflesh|4740|1|1
a living piece of demonflesh|4741|1|1
a massive whip of bone and sinew|4742|1|1
a massive shield of blackened slate|4743|15|15
a massive black-steel greatsword|4744|1|1
a brilliant diamond attached to a runed silver chain|4745|1|1
a Kingmaker Memory Stick Fob|4746|1|1
a cloak formed of molten lava|4776|1|1
the dual-headed crystal spear, "Sunthu"|4777|1|1
a pair of silver leg guards|5203|28|28
a pair of silver arm guards|5204|28|28
a black and gold dagger|5205|20|20
a ruby brooch|5207|50|50
a platinum belt buckle|5208|11|11
a black stone pendant|5209|1|1
a flaming dragonhelm|5210|1|1
a pair of enormous red claws|5214|1|1
a breastplate of bright orange scales|5215|1|1
a crude stone knife|5219|20|20
a primitive belt woven from roots|5220|30|30
a crude club carved from stone|5221|50|50
a crude axe with a stone head|5223|50|50
a huge axe with a stone head|5224|10|10
a necklace of bone shards|5225|16|16
a belt woven with bone shards|5226|16|16
a thin dagger with a jewelled hilt|5228|18|18
a flowing midnight blue cape|5230|17|17
a dark blue opal ring|5231|17|17
a golden belt buckle|5234|26|26
a bracelet of carved marble|5235|11|11
the Chalice of Jolinn|5240|1|1
a pale Uzith-Hazhi mushroom|5242|300|300
a brilliant round-cut ruby|5243|1|1
a tarnished silver hand mirror|5602|1|1
a crimson pool of blood|5610|1|1
a shimmering bonemail shirt|5695|9|9
a black stone saurian eye bracer|5696|1|1
a spiked bone-woven bracer|5697|1|1
a jagged stone sword veined with bone|5698|3|3
a black-runed obsidian axe named 'Risr'|5699|1|1
a glowing knife with a wooden handle|5703|45|45
a cloak woven from soft plant fibers|5704|40|40
a pair of boots woven from soft plant fibers|5705|50|50
a tarnished brass sphere|5707|1|1
a polished silver sphere|5708|1|1
a pair of green woven-grass gloves|5709|5|5
a faded green hood|5710|2|2
a bright red ball|5801|2|2
a blade of light|5804|5|5
a wooden-wheeled pushcart|5830|1|1
a wreath of berries|5905|35|35
a gown of leaves|5906|20|20
a thorned staff|5907|30|30
a long black arrow|5913|40|40
a vest of hardened black armor|5914|60|60
a long gray hunter's cloak|5915|65|65
a stained arrow|6110|5|5
a pool of pure darkness|6117|1|1
a bronze clasp|6129|15|15
an oddly-shaped club|6130|25|25
a large, colorful vase|6140|4|4
a freestanding arch|6145|1|1
a rough pine table|6147|2|2
an antique iron key|6150|5|5
a dark black hooded robe|6163|2|2
a tall silver mirror|6164|1|1
a collection of various colored rags|6165|5|5
a dark blue bracer|6169|5|5
a thin pale white silk belt|6170|7|7
a miniature replica of a shield|6171|4|4
a black staff emblazoned with silver runes|6183|35|35
an iron grating|6185|10|10
a metal prybar|6187|7|7
a glass ring|6191|5|5
a glass ring|6192|2|2
a faded robe|6202|9|9
a ring of spam protection +10|6234|10|10
a brilliant mote of light|6235|15|15
a small note-book|6236|20|20
a gleaming white surcoat|6239|4|4
a thin strip of bloody meat|6252|60|60
some half-smoked strips of meat|6260|30|30
a faded pilgrim's robe|6272|1|1
a billowy, sheer skirt of red silk|6275|12|12
a bracelet of bangles|6276|18|18
a bracelet of bangles|6277|18|18
a pair of gleaming silver cufflinks|6279|14|14
a light brigandine shirt|6286|40|40
a calcified femur|6299|5|5
brown robes of the Glallian School|6312|60|60
a tight pair of silken pantaloons|6317|60|60
a beaded belt of gleaming shells|6318|20|20
a suit of emerald dragonscale armor|6319|200|200
a blade of light|6320|5|5
a small stuffed bear|6322|5|5
a whip of shimmering, braided ch'taren sinew|6331|1|1
a hexagonal crystal pendant|6332|1|1
a fitted cuirass of shimmering ch'lonin|6334|1|1
a shining circlet of ch'lonin|6335|1|1
a mail-skirt crafted from delicate ch'lonin|6336|1|1
a pair of high-laced pearl sandals|6337|1|1
a demure gown of diffuse light|6340|1|1
the flaming ch'lonin standard of Calaera|6341|1|1
a slender staff crafted from ch'lonin and light|6342|1|1
an enormous, round, diamond-bossed shield|6343|1|1
a great war-helm forged from ch'lonin|6344|1|1
a pair of glittering, winged sandals|6345|1|1
a short, razor-sharp ch'lonin javelin|6346|1|1
a ribbon-bound sapphire diadem|6347|1|1
a sharp, circular blade of ch'lonin etched with runes|6348|1|1
a weighted sling woven from threads of ch'lonin|6349|1|1
a long, slender clarion of pure silver|6350|1|1
a light mail tunic crafted from ch'lonin links|6351|1|1
a pair of delicate, braided silver sandals|6352|1|1
a thin belt encrusted with diamond and pearl|6353|1|1
the Chalice of Truth|6354|1|1
a stole woven from threads of silver and gold|6355|2|2
a light-dappled golden orb|6356|1|1
an elaborate, detailed amulet of a glittering pegasus|6357|2|2
a great curving bow forged from ch'lonin|6358|1|1
a quiver crafted from silver birchbark|6359|1|1
a leaf-shaped ch'lonin sword veined with gold|6360|1|1
a laurel of golden flowers|6361|1|1
a curved gold war-horn hanging from a ch'lonin baldric|6362|1|1
a pair of armored silver bracers trimmed with ch'lonin|6363|1|1
a pair of ornately filigreed ch'lonin greaves|6364|1|1
a long, narrow rod of swampwood banded in gold|6368|1|1
a glorious laurel of living holly|6370|1|1
a gleaming gilt arrow|6393|40|40
a large, heavy gilt bow|6394|1|1
a pair of solid gold dice|6396|10|10
a weatherstained pair of black hiking boots|6398|1|1
a wooly grey sarong of cloudweave|6399|1|1
a pair of finely crafted armguards|6915|100|100
a pair of gauntlets of shining steel|6916|100|100
a bracelet of spiked bones|6918|100|100
a belt of woven wood|6919|100|100
a cloak of oak leaves|6921|100|100
a scarlet belidiss blossom|7006|100|100
a steel saber|7013|40|40
the Staff of Kar'Ansa|7042|1|1
an ironwood shortsword|7050|100|100
a jagged pair of ironwood armguards|7051|120|120
a carved ironwood ring|7052|100|100
a ring inset with a fiery ruby|7053|1|1
a fiery claymore|7054|40|40
a hammer inlaid with silver runes|7057|40|40
a pair of runed spectacles|7058|1|1
a marble wand|7060|1|1
a belt woven from platinum thread|7061|1|1
a flawless topaz ring|7063|50|50
a beautiful necklace of smoky quartz|7064|30|30
a thin diamond bracelet|7065|25|25
a light platinum mace|7066|50|50
a gold chain, inset with emeralds|7078|40|40
a bouquet of black roses|7087|1|1
the crested ring of Tessolos|7091|1|1
a sparkling silver sash|7098|25|25
a slender amber rod|7099|75|75
a longsword called "The Bandit's Blade"|7108|4|4
a floating ball of quicksilver|7116|20|20
a dual-pronged trident|7117|40|40
a pair of iron shin guards|7119|30|30
a pair of platemail gauntlets|7120|40|40
a guardsman's spear|7121|25|25
a crested gold sword|7122|1|1
a crested gold shield|7123|20|20
a pair of light silver gloves|7124|15|15
a sword of sparkling light, engraved with a pegasus|7125|20|20
an amber-handled whip|7126|50|50
a zephyr cloak|7127|20|20
a silver ring, inset with an alabaster stone|7128|20|20
a silver bracelet, encrusted with diamonds|7129|20|20
a slender mace of meteoric iron|7130|3|3
a sapphire wand|7131|3|3
a tristone bracelet|7132|3|3
a carved ebony staff|7135|20|20
a pair of supple black gloves|7136|15|15
a pair of runed iron vambraces|7137|20|20
a pair of runed iron greaves|7138|20|20
a wickedly barbed morning star|7139|20|20
a slender straight dagger|7140|20|20
a robe of grey silk|7141|1|1
a runed iron cudgel|7142|20|20
a pair of spiked iron knuckles|7143|15|15
a crude bronze axe|7144|15|15
a horned helmet|7145|20|20
an obsidian hand axe|7146|30|30
a jewel-encrusted dagger|7147|1|1
a gem-encrusted ring|7148|15|15
a staff of dark ironwood, topped with a black opal|7149|1|1
a shirt of black silk|7150|80|80
a dark shuddeni grimoire|7151|35|35
a potion of caloric protection|7155|10|10
an oak bookshelf|7161|1|1
an oak chair|7162|1|1
a large silver key|7168|1|1
a smooth mahogany pipe|7183|6|6
a sturdy cot|7220|3|3
a diamond-shaped table|7226|3|3
none|7227|3|3
the Captain's desk|7230|3|3
a book of bound parchment|7232|2|2
a jaunty purple velvet hat|7251|2|2
a gleaming iron longsword|7253|1|1
the signet ring of the house of Rotheld|7254|1|1
a pair of runed iron armbands|7255|1|1
the runed halberd, "Arirt Rhudari"|7256|1|1
the signet ring of the house of Edeno|7258|1|1
a gleaming pair of wire-rimmed spectacles|7259|1|1
a carved jade signet ring|7260|1|1
a delicate crystal gyroscope|7278|3|3
a sleeveless black dress|7280|2|2
a lengthy rope of pearls|7281|400|400
a short, silken neck-scarf|7282|400|400
a set of enameled gold cufflinks|7283|400|400
a pearl and diamond bracelet|7284|400|400
a golden band set with a yellow diamond|7285|400|400
a pair of pearl drop earrings|7286|400|400
an elegant fur stole|7287|400|400
a wrapped silk shirt|7288|300|300
a stylish felt hat|7289|400|400
a long, sweeping silk dress|7290|300|300
a pair of silken black breeches|7291|400|400
an angle-cut, two-layered skirt|7292|300|300
a pair of lacy silk stockings|7293|300|300
a high pair of polished boots|7294|200|200
an embroidered pair of flat shoes|7295|200|200
a set of beautiful oak castanets|7299|4|4
the Hammer of Levla|7301|1|1
the Axe of Mizkrul|7302|1|1
a light ivory dagger|7306|2|2
a staff inlaid with mother-of-pearl|7307|10|10
a long, finely-cut black coat|7400|300|300
a pair of silver-buckled black boots|7401|200|200
a pair of finely-cut, charcoal-grey trousers|7402|300|300
a fine, bone coloured silk shirt|7403|300|300
a burgundy cravat|7404|400|400
a silver cravat|7405|400|400
a pair of sheer, silken black stockings|7406|400|400
a pair of knee-high black boots|7407|200|200
a loose black shirt|7408|300|300
a form-fitting, opalescent gown|7409|1|1
a chain of fine, silver loops|7412|20|20
a pair of pearly slippers|7413|20|20
an ebony walking stick|7419|3|3
some dried ketsari fungus|7420|10|10
a pair of tailored black trousers|7423|300|300
a pair of diamond stud earrings|7430|400|400
a gilded falchion|7450|13|13
a whip of braided gold|7451|30|30
a pair of ochre pantaloons|7452|60|60
a colourful, embroidered vest|7453|20|20
the Sword of Chaigidon|7460|1|1
a long, ebony scabbard bearing an ornate sword|7461|1|1
a necklace of black pearls|7462|1|1
a bracelet of black pearls|7463|1|1
a runed silver hairband|7464|3|3
a sleek black dress|7465|3|3
a form-fitting, opalescent gown|7466|1|1
a yellowing page, covered in runes of fire|7468|5|5
a yellowing page, covered in runes of void|7469|5|5
a yellowing page, covered in runes of air|7471|5|5
a yellowing page, covered in runes of destruction|7472|5|5
a tough brigandine shirt|7494|100|100
a silken surcoat sewn with the the Casidian crest|7495|50|50
a pair of curved brass knuckles|7497|15|15
an elegantly-balanced punting-pole|7498|5|5
a chitinous breastplate of a kkhilgh|7504|150|150
chitinous armguards of a kkhilgh|7505|150|150
chitinous leggings of a kkhilgh|7506|150|150
chitinous helmet of a kkhilgh|7507|150|150
the slashing arm of a kkhilgh|7508|150|150
the chitinous breastplate of the high kkhilgh|7509|25|25
a chitinous shield of the high kkhilgh|7510|25|25
the jaws of the high kkhilgh|7511|15|15
a pair of chaja armguards|7615|125|125
a pair of chaja leggings|7616|125|125
a shuddeni priest's robe|7617|12|12
a Yithoul dagger|7618|50|50
the chaja executioner's axe|7619|5|5
a yakra-sajji|7620|15|15
a curved razor|7623|12|12
a blood-soaked robe|7624|80|80
a runed staff of blackened wood|7625|7|7
a red vial|7626|5|5
the chaja smith's hammer|7627|10|10
a fiery whip|7630|10|10
the Mantle of Fire|7631|10|10
a curved dagger|7633|10|10
a barb-tipped dagger|7634|7|7
a black dagger|7635|5|5
a bound spellbook|7641|2|2
a pale wand|7642|2|2
a thin longsword with black trim|7643|5|5
a short, stout wand|7646|12|12
a black neckplate|7649|12|12
a spiked bludgeon|7650|85|85
an oddly-formed teak staff|7651|12|12
a staff adorned with sharpened hooks|7652|7|7
a soft black leather tunic|7653|12|12
a pair of soft black leather gloves|7654|12|12
a pair of soft black leather boots|7655|12|12
a monograph entitled 'The Great Ghal'Koth Worm'|7658|1|1
a blue-lettered scroll|7661|1|1
a cruelly angled club carved from black stone|7665|15|15
a rough fur and leather loincloth|7666|1|1
a large stone dipper|7667|1|1
a key formed from glittering sapphire|7674|2|2
a gleaming pair of emerald-studded golden gauntlets|7676|1|1
a peaked golden hat adorned with a peacock feather|7677|1|1
a diamond ring|7678|1|1
an emerald-encrusted golden gorget|7679|1|1
a ruby necklace|7680|3|3
a golden ring set with an enormous square ruby|7681|1|1
a knotted golden necklace|7682|1|1
the tiny, gilded skull of an imp|7683|1|1
a gem of harming|7684|3|3
a bone pen|7688|1|1
its tail|7689|1|1
some glossy black drake claws|7690|1|1
a pair of black drake-hide leggings|7691|1|1
a pair of black drake-hide armguards|7692|1|1
a pair of black drake-hide boots|7693|1|1
a black drake-hide breastplate|7694|1|1
a black drake-hide shield|7695|1|1
a black drake-hide helmet|7696|1|1
a black drake-hide bracer|7697|2|2
a platinum tiara inset with sapphires|7699|1|1
the Mantle of Hatred|7703|8|8
the Gauntlets of Pain|7706|2|2
the Crown of Greed|7709|2|2
a valuable sculpture|7711|1|1
a rare painting|7712|1|1
the Robe of Power|7717|4|4
a Ring of Void|7719|5|5
a Ring of Fire|7720|2|2
a Robe of Fire and Void|7721|5|5
a torturer's knife|7722|20|20
a pair of cruelly spiked boots|7723|20|20
a cloak of pure darkness|7725|2|2
a lash tipped with a bone shard|7726|1|1
a glimmering circlet of gold|7727|80|80
a bloody scourge|7728|200|200
a dark-bladed sword|7729|120|120
a dark templar's shield|7730|20|20
a tarnished and dented bracelet|7734|1|1
the Grimoire Sanguine|7737|1|1
a lash tipped with a bone shard|7739|1|1
a bejeweled brass sceptre|7740|3|3
the Crown of Avarice|7741|2|2
a key formed from glittering sapphire|7746|2|2
an orb of pure, soft gold|7750|1|1
a faintly-humming scroll|7763|1|1
a deeply-hooded robe of painted silk|8000|2|2
a lengthy cane inlaid with gold|8001|2|2
a filigreed golden wristcuff|8002|400|400
an engraved bangle of red gold|8003|400|400
a brooch of carved emerald|8004|400|400
a band of twisted wire and rubies|8005|400|400
a twisted onyx ring|8006|400|400
a knitted silk robe|8007|300|300
a fringed silk headwrap|8008|400|400
a golden pair of fingerless gloves|8009|400|400
a loosely-tied pair of embroidered trousers|8010|300|300
a gleaming pair of hand-razors|8011|400|400
a short, golden leather vest|8012|400|400
a pair of tight, golden leather pants|8013|400|400
a laced pair of golden leather boots|8014|200|200
a barbed obsidian armlet|8015|400|400
unused|8198|1|1
dag|8199|666|666
black plate armor|8236|400|400
a runed black scimitar|8237|15|15
a blood-encrusted claymore|8238|15|15
a crimson war-axe|8239|15|15
a bone-handled scythe|8240|15|15
a coiled black whip|8241|15|15
the white spear, "Frost"|8242|15|15
a jagged iron poleaxe|8243|15|15
a spear carved from dragonbone|8244|15|15
a battleaxe named, "Herald of Darkness"|8245|15|15
a black glaive encircled in flames|8246|15|15
the sharp dagger, "Agony"|8247|15|15
a skull-shaped mace|8248|15|15
the wicked black dagger, "Torment"|8249|15|15
the bone flail, "Nightfall"|8250|15|15
a spiked black staff|8251|15|15
a wickedly spiked mace|8252|15|15
a black polearm|8255|25|25
a skull ring|8256|5|5
a rotting, mouldering gown|8257|15|15
a pair of ancient, cracked leather boots|8258|15|15
an ancient, fetid cloak|8259|15|15
the Sleeves of the Lich|8260|15|15
the Leggings of the Undead|8261|15|15
a rune-covered onyx shield|8262|15|15
a jade belt with a skull-shaped buckle|8263|15|15
a black and silver circlet|8264|15|15
an Amulet of the Undead|8265|2|2
a Necklace of Fingerbones|8266|2|2
the Hand of Gogoth|8267|1|1
the Skull-Mask of Gogoth|8268|1|1
a blackened wand|8269|3|3
a Scroll of Void|8270|2|2
a crimson wand|8272|3|3
the Belt of Damnation|8274|1|1
a glowing black halberd|8275|2|2
the black helmet of the lich captain|8276|20|20
a black spear|8277|35|35
a tarnished silver key|8281|1|1
